,train_accuracy,test_accuracy,train_bal_accuracy,test_bal_accuracy,train_recall,test_recall,train_geom_mean,test_geom_mean,train_fbeta,test_fbeta
Logistic Regression,0.8028708133971292,0.796875,0.5351515151515152,0.5159574468085106,0.07272727272727272,0.031914893617021274,0.4633719041070988,0.43277871392440714,0.7537234030865578,0.7417970609233697
Random Forest,1.0,0.9241071428571429,1.0,0.8386825339584085,1.0,0.6914893617021277,1.0,0.8343206991087991,1.0,0.9205584717332894
Decision Tree,1.0,0.8794642857142857,1.0,0.8026205072725088,1.0,0.6702127659574468,1.0,0.7989334843459562,1.0,0.8781437575030012
LR with Categories,0.8038277511961722,0.796875,0.5374242424242424,0.5159574468085106,0.07727272727272727,0.031914893617021274,0.4667483121118653,0.43277871392440714,0.7552671359673235,0.7417970609233697
RF with Categories,1.0,0.9151785714285714,1.0,0.8213126577713667,1.0,0.6595744680851063,1.0,0.8159311687077313,1.0,0.9108857904590592
DT with Categories,1.0,0.8794642857142857,1.0,0.8026205072725088,1.0,0.6702127659574468,1.0,0.7989334843459562,1.0,0.8781437575030012
Gradient Boost,0.9760765550239234,0.9151785714285714,0.9465151515151515,0.8213126577713667,0.8954545454545455,0.6595744680851063,0.9460534104744519,0.8159311687077313,0.9756605873755961,0.9108857904590592
XGBoost,1.0,0.9263392857142857,1.0,0.8479084024522179,1.0,0.7127659574468085,1.0,0.8442732114071866,1.0,0.9234539335791068
Bagging Classifier,0.9923444976076555,0.9241071428571429,0.9834848484848484,0.8425892535160476,0.9681818181818181,0.7021276595744681,0.9834449419345682,0.8386366816793214,0.9923088418525833,0.9209644098103587
Stacked Classifier,0.969377990430622,0.9263392857142857,0.9722727272727273,0.8479084024522179,0.9772727272727273,0.7127659574468085,0.9722684180291788,0.8442732114071866,0.9695540200759166,0.9234539335791068
RF Encore,0.9282296650717703,0.9107142857142857,0.8478787878787879,0.8106743598990264,0.7090909090909091,0.6382978723404256,0.8440628978157497,0.8044780488245614,0.9250823530821146,0.9057721352481641
Bagging Encore,0.938755980861244,0.90625,0.8762121212121212,0.8078495011419642,0.7681818181818182,0.6382978723404256,0.8739770860721898,0.8018342461630146,0.9369748526509928,0.9016405948862908
XGBoost Encore,0.9894736842105263,0.9352678571428571,0.9816666666666667,0.8613715590816204,0.9681818181818181,0.7340425531914894,0.9816356222761653,0.8581959566017229,0.989454447051258,0.9326320048827876
Stacked Encore,0.9665071770334929,0.9375,0.9487878787878787,0.8940377449212646,0.9181818181818182,0.8191489361702128,0.9486224040177871,0.8929806950474188,0.9664896397457984,0.9369711245937349
